Date,Month,Day,Year,Unemployment_Rate,Age_Group
2000-05-01,5,1,2000,0.7,25 to 34 years
2000-06-01,6,1,2000,1.4,25 to 34 years
2000-07-01,7,1,2000,1.7,25 to 34 years
2000-08-01,8,1,2000,1.6,25 to 34 years
2000-09-01,9,1,2000,1.1,25 to 34 years
2000-10-01,10,1,2000,1.1,25 to 34 years
2000-11-01,11,1,2000,1.6,25 to 34 years
2000-12-01,12,1,2000,1.8,25 to 34 years
2001-01-01,1,1,2001,1.5,25 to 34 years
2001-02-01,2,1,2001,2.2,25 to 34 years
2001-03-01,3,1,2001,1.6,25 to 34 years
2001-04-01,4,1,2001,1.9,25 to 34 years
2001-05-01,5,1,2001,2.1,25 to 34 years
2001-06-01,6,1,2001,3.6,25 to 34 years
2001-07-01,7,1,2001,4.2,25 to 34 years
2001-08-01,8,1,2001,2.9,25 to 34 years
2001-09-01,9,1,2001,2.1,25 to 34 years
2001-10-01,10,1,2001,1.2,25 to 34 years
2001-11-01,11,1,2001,1.8,25 to 34 years
2001-12-01,12,1,2001,2.6,25 to 34 years
2002-01-01,1,1,2002,3.0,25 to 34 years
2002-02-01,2,1,2002,2.5,25 to 34 years
2002-03-01,3,1,2002,2.4,25 to 34 years
2002-04-01,4,1,2002,2.3,25 to 34 years
2002-05-01,5,1,2002,2.3,25 to 34 years
2002-06-01,6,1,2002,2.6,25 to 34 years
2002-07-01,7,1,2002,4.1,25 to 34 years
2002-08-01,8,1,2002,3.7,25 to 34 years
2002-09-01,9,1,2002,4.0,25 to 34 years
2002-10-01,10,1,2002,3.3,25 to 34 years
2002-11-01,11,1,2002,3.8,25 to 34 years
2002-12-01,12,1,2002,3.1,25 to 34 years
2003-01-01,1,1,2003,2.9,25 to 34 years
2003-02-01,2,1,2003,2.9,25 to 34 years
2003-03-01,3,1,2003,2.4,25 to 34 years
2003-04-01,4,1,2003,2.8,25 to 34 years
2003-05-01,5,1,2003,3.0,25 to 34 years
2003-06-01,6,1,2003,2.7,25 to 34 years
2003-07-01,7,1,2003,2.8,25 to 34 years
2003-08-01,8,1,2003,3.0,25 to 34 years
2003-09-01,9,1,2003,3.8,25 to 34 years
2003-10-01,10,1,2003,2.0,25 to 34 years
2003-11-01,11,1,2003,3.6,25 to 34 years
2003-12-01,12,1,2003,3.1,25 to 34 years
2004-01-01,1,1,2004,2.5,25 to 34 years
2004-02-01,2,1,2004,2.6,25 to 34 years
2004-03-01,3,1,2004,2.0,25 to 34 years
2004-04-01,4,1,2004,2.0,25 to 34 years
2004-05-01,5,1,2004,2.3,25 to 34 years
2004-06-01,6,1,2004,3.3,25 to 34 years
2004-07-01,7,1,2004,3.1,25 to 34 years
2004-08-01,8,1,2004,3.3,25 to 34 years
2004-09-01,9,1,2004,2.3,25 to 34 years
2004-10-01,10,1,2004,2.0,25 to 34 years
2004-11-01,11,1,2004,2.0,25 to 34 years
2004-12-01,12,1,2004,2.0,25 to 34 years
2005-01-01,1,1,2005,2.3,25 to 34 years
2005-02-01,2,1,2005,2.8,25 to 34 years
2005-03-01,3,1,2005,2.0,25 to 34 years
2005-04-01,4,1,2005,1.4,25 to 34 years
2005-05-01,5,1,2005,1.6,25 to 34 years
2005-06-01,6,1,2005,2.1,25 to 34 years
2005-07-01,7,1,2005,3.6,25 to 34 years
2005-08-01,8,1,2005,3.2,25 to 34 years
2005-09-01,9,1,2005,2.5,25 to 34 years
2005-10-01,10,1,2005,1.0,25 to 34 years
2005-11-01,11,1,2005,1.2,25 to 34 years
2005-12-01,12,1,2005,1.4,25 to 34 years
2006-01-01,1,1,2006,1.0,25 to 34 years
2006-02-01,2,1,2006,2.2,25 to 34 years
2006-03-01,3,1,2006,1.8,25 to 34 years
2006-04-01,4,1,2006,1.4,25 to 34 years
2006-05-01,5,1,2006,0.8,25 to 34 years
2006-06-01,6,1,2006,1.1,25 to 34 years
2006-07-01,7,1,2006,2.4,25 to 34 years
2006-08-01,8,1,2006,2.0,25 to 34 years
2006-09-01,9,1,2006,1.5,25 to 34 years
2006-10-01,10,1,2006,1.7,25 to 34 years
2006-11-01,11,1,2006,1.5,25 to 34 years
2006-12-01,12,1,2006,1.0,25 to 34 years
2007-01-01,1,1,2007,1.4,25 to 34 years
2007-02-01,2,1,2007,2.3,25 to 34 years
2007-03-01,3,1,2007,1.0,25 to 34 years
2007-04-01,4,1,2007,1.2,25 to 34 years
2007-05-01,5,1,2007,1.3,25 to 34 years
2007-06-01,6,1,2007,2.1,25 to 34 years
2007-07-01,7,1,2007,1.9,25 to 34 years
2007-08-01,8,1,2007,2.9,25 to 34 years
2007-09-01,9,1,2007,2.4,25 to 34 years
2007-10-01,10,1,2007,0.8,25 to 34 years
2007-11-01,11,1,2007,0.8,25 to 34 years
2007-12-01,12,1,2007,1.2,25 to 34 years
2008-01-01,1,1,2008,1.4,25 to 34 years
2008-02-01,2,1,2008,1.1,25 to 34 years
2008-03-01,3,1,2008,1.1,25 to 34 years
2008-04-01,4,1,2008,1.3,25 to 34 years
2008-05-01,5,1,2008,3.0,25 to 34 years
2008-06-01,6,1,2008,2.9,25 to 34 years
2008-07-01,7,1,2008,2.6,25 to 34 years
2008-08-01,8,1,2008,2.0,25 to 34 years
2008-09-01,9,1,2008,1.8,25 to 34 years
2008-10-01,10,1,2008,4.0,25 to 34 years
2008-11-01,11,1,2008,3.1,25 to 34 years
2008-12-01,12,1,2008,2.3,25 to 34 years
2009-01-01,1,1,2009,3.7,25 to 34 years
2009-02-01,2,1,2009,3.0,25 to 34 years
2009-03-01,3,1,2009,3.7,25 to 34 years
2009-04-01,4,1,2009,3.4,25 to 34 years
2009-05-01,5,1,2009,2.9,25 to 34 years
2009-06-01,6,1,2009,3.3,25 to 34 years
2009-07-01,7,1,2009,5.4,25 to 34 years
2009-08-01,8,1,2009,4.3,25 to 34 years
2009-09-01,9,1,2009,3.5,25 to 34 years
2009-10-01,10,1,2009,3.5,25 to 34 years
2009-11-01,11,1,2009,4.0,25 to 34 years
2009-12-01,12,1,2009,3.9,25 to 34 years
