__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-16,US,United States,techsoftware,Software Development,TOTAL,101.67
HiringLabSectoralPosting,2020-02-17,US,United States,math,Data & Analytics,TOTAL,101.57
HiringLabSectoralPosting,2020-02-17,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,100.15
HiringLabSectoralPosting,2020-02-17,US,United States,techinfo,IT Systems & Solutions,TOTAL,99.97
HiringLabSectoralPosting,2020-02-17,US,United States,techsoftware,Software Development,TOTAL,101.7
HiringLabSectoralPosting,2020-02-18,US,United States,math,Data & Analytics,TOTAL,101.5
HiringLabSectoralPosting,2020-02-18,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,100.28
HiringLabSectoralPosting,2020-02-18,US,United States,techinfo,IT Systems & Solutions,TOTAL,100.04
HiringLabSectoralPosting,2020-02-18,US,United States,techsoftware,Software Development,TOTAL,101.79
HiringLabSectoralPosting,2020-02-19,US,United States,math,Data & Analytics,TOTAL,101.46
HiringLabSectoralPosting,2020-02-19,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,100.31
HiringLabSectoralPosting,2020-02-19,US,United States,techinfo,IT Systems & Solutions,TOTAL,100.1
HiringLabSectoralPosting,2020-02-19,US,United States,techsoftware,Software Development,TOTAL,101.82
HiringLabSectoralPosting,2020-02-20,US,United States,math,Data & Analytics,TOTAL,101.43
HiringLabSectoralPosting,2020-02-20,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,100.37
HiringLabSectoralPosting,2020-02-20,US,United States,techinfo,IT Systems & Solutions,TOTAL,100.2
HiringLabSectoralPosting,2020-02-20,US,United States,techsoftware,Software Development,TOTAL,101.87
HiringLabSectoralPosting,2020-02-21,US,United States,math,Data & Analytics,TOTAL,101.37
HiringLabSectoralPosting,2020-02-21,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,100.36
HiringLabSectoralPosting,2020-02-21,US,United States,techinfo,IT Systems & Solutions,TOTAL,100.3
HiringLabSectoralPosting,2020-02-21,US,United States,techsoftware,Software Development,TOTAL,101.88
HiringLabSectoralPosting,2020-02-22,US,United States,math,Data & Analytics,TOTAL,101.23
HiringLabSectoralPosting,2020-02-22,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.92
HiringLabSectoralPosting,2020-02-22,US,United States,techinfo,IT Systems & Solutions,TOTAL,100.27
HiringLabSectoralPosting,2020-02-22,US,United States,techsoftware,Software Development,TOTAL,101.71
HiringLabSectoralPosting,2020-02-23,US,United States,math,Data & Analytics,TOTAL,101.28
HiringLabSectoralPosting,2020-02-23,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.6
HiringLabSectoralPosting,2020-02-23,US,United States,techinfo,IT Systems & Solutions,TOTAL,100.36
HiringLabSectoralPosting,2020-02-23,US,United States,techsoftware,Software Development,TOTAL,101.78
HiringLabSectoralPosting,2020-02-24,US,United States,math,Data & Analytics,TOTAL,101.35
HiringLabSectoralPosting,2020-02-24,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.29
HiringLabSectoralPosting,2020-02-24,US,United States,techinfo,IT Systems & Solutions,TOTAL,100.51
HiringLabSectoralPosting,2020-02-24,US,United States,techsoftware,Software Development,TOTAL,101.83
HiringLabSectoralPosting,2020-02-25,US,United States,math,Data & Analytics,TOTAL,101.51
HiringLabSectoralPosting,2020-02-25,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,98.99
HiringLabSectoralPosting,2020-02-25,US,United States,techinfo,IT Systems & Solutions,TOTAL,100.66
HiringLabSectoralPosting,2020-02-25,US,United States,techsoftware,Software Development,TOTAL,101.93
HiringLabSectoralPosting,2020-02-26,US,United States,math,Data & Analytics,TOTAL,101.65
HiringLabSectoralPosting,2020-02-26,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,98.75
HiringLabSectoralPosting,2020-02-26,US,United States,techinfo,IT Systems & Solutions,TOTAL,100.8
HiringLabSectoralPosting,2020-02-26,US,United States,techsoftware,Software Development,TOTAL,102.02
HiringLabSectoralPosting,2020-02-27,US,United States,math,Data & Analytics,TOTAL,101.89
HiringLabSectoralPosting,2020-02-27,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,98.48
HiringLabSectoralPosting,2020-02-27,US,United States,techinfo,IT Systems & Solutions,TOTAL,100.93
HiringLabSectoralPosting,2020-02-27,US,United States,techsoftware,Software Development,TOTAL,102.16
HiringLabSectoralPosting,2020-02-28,US,United States,math,Data & Analytics,TOTAL,102.19
HiringLabSectoralPosting,2020-02-28,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,98.28
HiringLabSectoralPosting,2020-02-28,US,United States,techinfo,IT Systems & Solutions,TOTAL,101.07
HiringLabSectoralPosting,2020-02-28,US,United States,techsoftware,Software Development,TOTAL,102.33
HiringLabSectoralPosting,2020-02-29,US,United States,math,Data & Analytics,TOTAL,102.7
HiringLabSectoralPosting,2020-02-29,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,98.55
HiringLabSectoralPosting,2020-02-29,US,United States,techinfo,IT Systems & Solutions,TOTAL,101.42
HiringLabSectoralPosting,2020-02-29,US,United States,techsoftware,Software Development,TOTAL,102.75
HiringLabSectoralPosting,2020-03-01,US,United States,math,Data & Analytics,TOTAL,102.92
HiringLabSectoralPosting,2020-03-01,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,98.67
HiringLabSectoralPosting,2020-03-01,US,United States,techinfo,IT Systems & Solutions,TOTAL,101.56
HiringLabSectoralPosting,2020-03-01,US,United States,techsoftware,Software Development,TOTAL,102.9
HiringLabSectoralPosting,2020-03-02,US,United States,math,Data & Analytics,TOTAL,103.15
HiringLabSectoralPosting,2020-03-02,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,98.75
HiringLabSectoralPosting,2020-03-02,US,United States,techinfo,IT Systems & Solutions,TOTAL,101.67
HiringLabSectoralPosting,2020-03-02,US,United States,techsoftware,Software Development,TOTAL,103.08
HiringLabSectoralPosting,2020-03-03,US,United States,math,Data & Analytics,TOTAL,103.3
